date,timestamp_utc,strategy_version,equity,last_equity,cash,daily_return,cumulative_return,drawdown,gross_exposure,net_exposure,cash_weight,n_positions,max_position_weight,positions_json,benchmark_spy,notes
2026-09-05,2026-09-05T16:39:09.261066+00:00,H1-momentum-126-21-k5-monthly,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,{},770.18,orders_submitted=0;turnover=0.9902
2026-09-05,2026-09-05T16:39:45.233937+00:00,H1-momentum-126-21-k5-monthly,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,{},770.18,orders_submitted=5;turnover=0.9902
2026-09-09,2026-09-09T15:16:12.292662+00:00,H1-momentum-126-21-k5-monthly,99401.38,99830.79,616.28,-0.00430138,-0.0059862,-0.0059862,0.993772,0.993772,0.006228,5,0.204445,"{""IWM"": 67.0, ""QQQ"": 27.0, ""VNQ"": 208.0, ""XLE"": 312.0, ""XLK"": 106.0}",761.74,orders_submitted=6;turnover=0.4269
2026-09-09,2026-09-09T16:48:04.594707+00:00,H1-momentum-126-21-k5-monthly,99460.47,99830.79,11059.66,-0.00370948,-0.0053953,-0.0053953,0.888805,0.888805,0.111195,5,0.199709,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 305.0, ""XLK"": 105.0}",762.47,orders_submitted=0;turnover=0.0000
2026-09-09,2026-09-09T16:48:50.333399+00:00,H1-momentum-126-21-k5-monthly,99469.6,99830.79,11059.66,-0.00361802,-0.005304,-0.005304,0.888813,0.888813,0.111187,5,0.199736,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 305.0, ""XLK"": 105.0}",762.41,orders_submitted=0;turnover=0.0000
2026-09-09,2026-09-09T17:14:24.000283+00:00,H1-momentum-126-21-k5-monthly,99508.4,99830.79,11059.66,-0.00322936,-0.004916,-0.004916,0.888855,0.888855,0.111145,5,0.199919,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 305.0, ""XLK"": 105.0}",763.02,orders_submitted=0;turnover=0.0000
2026-09-09,2026-09-09T17:17:47.499213+00:00,H1-momentum-126-21-k5-monthly,99529.47,99830.79,11059.66,-0.00301831,-0.0047053,-0.0047053,0.888865,0.888865,0.111135,5,0.199999,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 305.0, ""XLK"": 105.0}",763.06,orders_submitted=0;turnover=0.0000
2026-09-09,2026-09-09T17:23:45.327322+00:00,H1-momentum-126-21-k5-monthly,99531.66,99830.79,11059.66,-0.00299637,-0.0046834,-0.0046834,0.888883,0.888883,0.111117,5,0.200133,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 305.0, ""XLK"": 105.0}",763.05,orders_submitted=1;turnover=0.0007
2026-09-10,2026-09-10T16:00:21.130096+00:00,H1-momentum-126-21-k5-monthly,98867.0,99466.32,11124.36,-0.00602536,-0.01133,-0.01133,0.887421,0.887421,0.112579,5,0.200341,"{""IWM"": 56.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""XLE"": 304.0, ""XLK"": 105.0}",758.64,orders_submitted=3;turnover=0.0055
2026-09-10,2026-09-10T17:45:02.068518+00:00,H1-momentum-126-21-k5-monthly,98806.9,99466.32,10444.27,-0.00662958,-0.011931,-0.011931,0.894283,0.894283,0.105717,6,0.199788,"{""IWM"": 57.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""SPY261002P00720000"": 1.0, ""XLE"": 303.0, ""XLK"": 106.0}",758.45,orders_submitted=0;turnover=0.0000
2026-09-11,2026-09-11T16:00:27.111832+00:00,H1-momentum-126-21-k5-monthly,99380.94,98660.53,10444.22,0.00730191,-0.0061906,-0.0061906,0.894936,0.894936,0.105064,6,0.200724,"{""IWM"": 57.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""SPY261002P00720000"": 1.0, ""XLE"": 303.0, ""XLK"": 106.0}",765.91,orders_submitted=2;turnover=0.0026
2026-09-12,2026-09-12T16:00:26.753564+00:00,H1-momentum-126-21-k5-monthly,99190.09,99189.09,10567.12,1.008e-05,-0.0080991,-0.0080991,0.893466,0.893466,0.106534,6,0.199643,"{""IWM"": 57.0, ""QQQ"": 23.0, ""SPY"": 21.0, ""SPY261002P00720000"": 1.0, ""XLE"": 304.0, ""XLK"": 105.0}",764.22,orders_submitted=0;turnover=0.0000
